CCreditScore,CAge,CTenure,CBalance,CNumOfProducts,CHasCrCard,CIsActiveMember,CEstimatedSalary,Account_Age_Months,Avg_Monthly_Transactions,Transaction_Variance,Last_Login_Days_Ago,Support_Tickets_Count,Mobile_App_Usage_Hours,Is_Holiday_Onboarding,Churn,CLV_Continuous,CBalance_is_negative,CGeography_Germany,CGeography_Spain,CGender_Male,CSeason_Spring,CSeason_Summer,CSeason_Winter
553.295,39,2,131008.16857161064,1,1,0,174570,37,8,4.959478152408338,1,1,7.98,0,0,21696.25602216416,0,0,0,1,0,1,0
552.939,33,4,118529.78881184744,1,0,0,95123,24,11,9.866506465787184,15,0,11.57,0,0,15918.891128433954,0,0,0,1,0,0,0
688.746,40,1,-879.7245552,2,1,1,145256,1,13,6.178310680742798,26,0,3.33,0,0,10361.31577344109,1,0,1,1,0,0,1
771.941,40,9,125563.13270556388,1,1,0,71149,2,12,4.509499627,19,2,12.71,1,0,15189.776245367746,0,0,0,1,0,0,1
484.093,55,5,95759.91856738436,1,0,1,77539,24,8,18.786985349675263,12,1,0.72,0,0,14631.814965569032,0,0,0,1,0,0,1
593.732,32,8,128786.88511111004,2,1,1,71949,5,14,0.3534054206098167,17,1,10.79,0,0,18045.948355575925,0,1,0,1,1,0,0
607.779,24,2,108526.50209331288,2,0,1,130220,29,7,6.1452872573698745,8,0,2.44,0,0,19257.880045164296,0,1,0,0,0,1,0
785.543,35,3,1501.9045034643882,2,1,0,91374,18,8,13.523535766567583,14,2,4.3,0,0,8129.081802211468,0,0,0,1,1,0,0
617.623,34,3,-2391.139326,1,1,1,44369,1,17,2.2196227206187684,29,0,0.33,0,0,4975.360545,1,0,1,1,1,0,0
673.137,46,2,174150.4743020396,1,1,0,88810,3,8,11.31625764193349,4,2,7.08,0,1,19968.651378418883,0,0,0,1,0,0,0
580.276,39,5,128.9279636972676,2,0,1,39732,26,11,8.240406274,33,0,0.0,0,0,6629.586572635153,0,0,0,1,0,0,0
658.203,37,2,287.39332071442016,2,0,1,69469,8,11,1.7944737467267111,12,0,3.34,0,0,7085.701444306305,0,0,0,1,0,0,1
711.725,62,3,134582.12407510003,2,1,0,119451,20,7,5.256355192988989,7,0,3.69,0,1,20069.88420769037,0,0,1,1,0,0,1
533.474,37,1,1304.2764806319794,1,1,0,5271,51,11,38.00277824679178,5,0,4.26,0,0,5187.327101,0,0,0,0,0,0,0
665.8,43,1,159939.45939209845,1,1,1,93342,8,16,2.9712267139194357,30,1,5.68,0,0,20268.66330844522,0,0,0,0,1,0,0
847.573,37,2,-965.9614979,2,1,0,116649,11,14,3.964268460395348,10,0,1.1,0,0,8649.011485021301,1,0,1,1,0,1,0
621.975,45,1,-362.5607345,1,1,0,140628,10,12,5.109986486837491,13,0,10.09,1,0,8351.971117796187,1,0,1,0,0,0,1
765.481,32,9,157957.48442358992,1,1,0,28874,11,12,1.297095291319226,10,0,15.77,0,0,16617.648970805876,0,1,0,1,1,0,0
